Date,Close
2015-01-02,9.373003959655762
2015-01-05,9.420103073120117
2015-01-06,9.572488784790039
2015-01-07,9.918810844421387
2015-01-08,10.07396411895752
2015-01-09,9.633441925048828
2015-01-12,9.400711059570312
2015-01-13,9.389619827270508
2015-01-14,9.453354835510254
2015-01-15,9.370233535766602
2015-01-16,9.51430606842041
2015-01-19,9.17074966430664
2015-01-20,9.201223373413086
2015-01-21,9.472743034362793
2015-01-22,9.519847869873047
2015-01-23,9.428412437438965
2015-01-26,9.539240837097168
2015-01-27,9.503219604492188
2015-01-28,9.309277534484863
2015-01-29,9.245548248291016
2015-01-30,9.115338325500488
2015-02-02,9.235908508300781
2015-02-03,9.493695259094238
2015-02-04,9.842948913574219
2015-02-05,9.759796142578125
2015-02-06,9.73762035369873
2015-02-09,9.798601150512695
2015-02-10,9.673866271972656
2015-02-11,9.510335922241211
2015-02-12,9.760308265686035
2015-02-13,10.084131240844727
2015-02-18,10.143791198730469
2015-02-19,10.140950202941895
2015-02-20,10.194918632507324
2015-02-23,10.294344902038574
2015-02-24,10.402284622192383
2015-02-25,10.427847862243652
2015-02-26,10.478979110717773
2015-02-27,10.368197441101074
2015-03-02,10.321304321289062
2015-03-03,10.40088176727295
2015-03-04,10.30993938446045
2015-03-05,10.219002723693848
2015-03-06,9.946194648742676
2015-03-09,9.687593460083008
2015-03-10,9.306797981262207
2015-03-11,9.62222957611084
2015-03-12,9.66201400756836
2015-03-13,9.613706588745117
2015-03-16,9.613706588745117
2015-03-17,9.889354705810547
2015-03-18,10.187740325927734
2015-03-19,10.125226020812988
2015-03-20,10.210477828979492
2015-03-23,10.145119667053223
2015-03-24,10.082598686218262
2015-03-25,10.074070930480957
2015-03-26,9.789901733398438
2015-03-27,9.619390487670898
2015-03-30,9.943355560302734
2015-03-31,10.034282684326172
2015-04-01,10.376862525939941
2015-04-02,10.47636890411377
2015-04-06,10.604301452636719
2015-04-07,10.60999584197998
2015-04-08,10.661168098449707
2015-04-09,10.447937965393066
2015-04-10,10.524703025817871
2015-04-13,10.44225788116455
2015-04-14,10.44225788116455
2015-04-15,10.59293270111084
2015-04-16,10.513324737548828
2015-04-17,10.379714965820312
2015-04-20,10.206293106079102
2015-04-22,10.490582466125488
2015-04-23,10.774887084960938
2015-04-24,11.124564170837402
2015-04-27,10.917037010192871
2015-04-28,11.02790355682373
2015-04-29,10.87723445892334
2015-04-30,10.953984260559082
2015-05-04,11.077707290649414
2015-05-05,10.969632148742676
2015-05-06,10.693754196166992
2015-05-07,10.736413955688477
2015-05-08,10.878623962402344
2015-05-11,10.82742977142334
2015-05-12,10.779078483581543
2015-05-13,10.705126762390137
2015-05-14,10.81036376953125
2015-05-15,11.012299537658691
2015-05-18,10.719358444213867
2015-05-19,10.568622589111328
2015-05-20,10.380908012390137
2015-05-21,10.255770683288574
2015-05-22,10.039619445800781
2015-05-25,10.076587677001953
2015-05-26,9.928698539733887
2015-05-27,10.130632400512695
2015-05-28,10.011176109313965
2015-05-29,9.763744354248047
2015-06-01,9.696874618530273
2015-06-02,9.91312313079834
2015-06-03,9.662732124328613
2015-06-05,9.432252883911133
2015-06-08,9.392428398132324
2015-06-09,9.332674980163574
2015-06-10,9.605831146240234
2015-06-11,9.546076774597168
2015-06-12,9.446490287780762
2015-06-15,9.494856834411621
