Date,Close
2015-01-02,9.372997283935547
2015-01-05,9.420105934143066
2015-01-06,9.572488784790039
2015-01-07,9.918815612792969
2015-01-08,10.073966026306152
2015-01-09,9.633443832397461
2015-01-12,9.400702476501465
2015-01-13,9.38962459564209
2015-01-14,9.453350067138672
2015-01-15,9.370232582092285
2015-01-16,9.514294624328613
2015-01-19,9.170745849609375
2015-01-20,9.201217651367188
2015-01-21,9.47274112701416
2015-01-22,9.519844055175781
2015-01-23,9.428415298461914
2015-01-26,9.539239883422852
2015-01-27,9.503223419189453
2015-01-28,9.309280395507812
2015-01-29,9.2455472946167
2015-01-30,9.115334510803223
2015-02-02,9.235906600952148
2015-02-03,9.49368953704834
2015-02-04,9.842950820922852
2015-02-05,9.759798049926758
2015-02-06,9.737627029418945
2015-02-09,9.79860782623291
2015-02-10,9.673861503601074
2015-02-11,9.51033878326416
2015-02-12,9.760311126708984
2015-02-13,10.084132194519043
2015-02-18,10.143795013427734
2015-02-19,10.140946388244629
2015-02-20,10.194914817810059
2015-02-23,10.294341087341309
2015-02-24,10.402284622192383
2015-02-25,10.427852630615234
2015-02-26,10.478985786437988
2015-02-27,10.368193626403809
2015-03-02,10.32130241394043
2015-03-03,10.400880813598633
2015-03-04,10.30993938446045
2015-03-05,10.219000816345215
2015-03-06,9.946197509765625
2015-03-09,9.687597274780273
2015-03-10,9.306797981262207
2015-03-11,9.622232437133789
2015-03-12,9.662017822265625
2015-03-13,9.613704681396484
2015-03-16,9.613704681396484
2015-03-17,9.889357566833496
2015-03-18,10.187745094299316
2015-03-19,10.125222206115723
2015-03-20,10.21047592163086
2015-03-23,10.145110130310059
2015-03-24,10.082601547241211
2015-03-25,10.074077606201172
2015-03-26,9.789898872375488
2015-03-27,9.619384765625
2015-03-30,9.943355560302734
2015-03-31,10.034283638000488
2015-04-01,10.376867294311523
2015-04-02,10.476375579833984
2015-04-06,10.604303359985352
2015-04-07,10.609989166259766
2015-04-08,10.661162376403809
2015-04-09,10.447936058044434
2015-04-10,10.524700164794922
2015-04-13,10.442259788513184
2015-04-14,10.442259788513184
2015-04-15,10.592934608459473
2015-04-16,10.513326644897461
2015-04-17,10.379708290100098
2015-04-20,10.206289291381836
2015-04-22,10.490582466125488
2015-04-23,10.774885177612305
2015-04-24,11.124568939208984
2015-04-27,10.917037963867188
2015-04-28,11.027912139892578
2015-04-29,10.877235412597656
2015-04-30,10.95399284362793
2015-05-04,11.07771110534668
2015-05-05,10.969627380371094
2015-05-06,10.693753242492676
2015-05-07,10.736418724060059
2015-05-08,10.878623008728027
2015-05-11,10.827427864074707
2015-05-12,10.779080390930176
2015-05-13,10.705126762390137
2015-05-14,10.8103666305542
2015-05-15,11.012298583984375
2015-05-18,10.719356536865234
2015-05-19,10.568621635437012
2015-05-20,10.380908966064453
2015-05-21,10.255768775939941
2015-05-22,10.039610862731934
2015-05-25,10.07658576965332
2015-05-26,9.928694725036621
2015-05-27,10.130635261535645
2015-05-28,10.011178970336914
2015-05-29,9.763747215270996
2015-06-01,9.696876525878906
2015-06-02,9.913128852844238
2015-06-03,9.662732124328613
2015-06-05,9.43226432800293
2015-06-08,9.392423629760742
2015-06-09,9.332671165466309
2015-06-10,9.605826377868652
2015-06-11,9.546075820922852
2015-06-12,9.446491241455078
2015-06-15,9.494858741760254
2015-06-16,9.830608367919922
2015-06-17,9.657042503356934
2015-06-18,9.8960542678833
2015-06-19,9.785082817077637
2015-06-22,9.8135347366333
2015-06-23,9.910276412963867
2015-06-24,9.94442081451416
2015-06-25,9.773695945739746
2015-06-26,9.859061241149902
2015-06-29,9.733863830566406
2015-06-30,9.736717224121094
2015-07-01,9.792216300964355
2015-07-02,9.9231595993042
2015-07-03,9.823529243469238
2015-07-06,9.6555814743042
2015-07-07,9.692586898803711
2015-07-08,9.581573486328125
2015-07-10,9.871920585632324
2015-07-13,9.963017463684082
2015-07-14,9.969849586486816
2015-07-15,9.79763126373291
2015-07-16,9.825809478759766
2015-07-17,9.766311645507812
2015-07-20,9.70682144165039
2015-07-21,9.625409126281738
2015-07-22,9.475111961364746
2015-07-23,9.080573081970215
2015-07-24,9.03986930847168
2015-07-27,9.021079063415527
2015-07-28,9.18703556060791
2015-07-29,9.27784252166748
2015-07-30,9.161985397338867
2015-07-31,9.418745994567871
2015-08-03,9.373322486877441
2015-08-04,9.147757530212402
2015-08-05,9.132096290588379
2015-08-06,9.097637176513672
2015-08-07,8.831348419189453
