Date,Open,High,Low,Close
2015-01-02,9.489370494487316,9.644525170890915,9.287114876831382,9.373003959655762
2015-01-05,9.226159237717797,9.517074463292525,9.154123076574935,9.420103073120117
2015-01-06,9.420104693285897,9.572488784790039,9.317591068418078,9.572488784790039
2015-01-07,9.697160336782582,10.068423313296671,9.697160336782582,9.91880989074707
2015-01-08,9.974222192448998,10.11275329069013,9.758113805799676,10.07396411895752
2015-01-09,9.9880825262178,10.015788344466948,9.605736959090498,9.633443832397461
2015-01-12,9.58634224083957,9.677772489963305,9.386857197704181,9.400710105895996
2015-01-13,9.478287213481998,9.638981981721233,9.389626502990723,9.389626502990723
2015-01-14,9.309273048818028,9.594646969103938,9.28156725269589,9.45334529876709
2015-01-15,9.475515726758646,9.74149575231647,9.36746200078679,9.370232582092285
2015-01-16,9.395162355662173,9.564169827226525,9.309273330032042,9.514299392700195
2015-01-19,9.450574693841402,9.566940092299667,9.129183239457564,9.170742988586426
2015-01-20,9.323127085269789,9.356375099733041,9.13195495857022,9.201220512390137
2015-01-21,9.33698728561787,9.539241867408176,9.19014433990282,9.472746849060059
2015-01-22,9.583567506629704,9.697162359639554,9.467201018124697,9.519843101501465
2015-01-23,9.583565105857822,9.697159930411116,9.339749868174318,9.428410530090332
2015-01-26,9.384083348239988,9.558632040789153,9.312047195669997,9.539237976074219
2015-01-27,9.503225326538086,9.57803209834695,9.2981990858247,9.503225326538086
2015-01-28,9.392394093580295,9.591879046080413,9.30650504675667,9.30927562713623
2015-01-29,9.392397853018371,9.431187048915392,9.090401305596208,9.24555492401123
2015-01-30,9.065466894703995,9.165208904006255,8.996201288087509,9.115337371826172
2015-02-02,9.20819577393391,9.25254530419434,9.050198461302958,9.23591423034668
2015-02-03,9.560222401654416,9.610116668346205,9.446575698489449,9.493698120117188
2015-02-04,9.4853785942856,9.901161558469013,9.424398021745947,9.842951774597168
2015-02-05,9.798603879380329,9.91779532377967,9.701588250207571,9.759798049926758
2015-02-06,9.70159387584061,9.787522174996464,9.590718957570312,9.737628936767578
2015-02-09,9.648921447873184,9.829093448772445,9.648921447873184,9.798602104187012
2015-02-10,9.812465417231804,9.881762605675586,9.673871040344238,9.673871040344238
2015-02-11,9.751790013782738,9.80007961086181,9.405236813796087,9.51033878326416
2015-02-12,9.61259585934407,9.808596887344475,9.572827973775919,9.760307312011719
2015-02-13,9.8227962957208,10.089812364757849,9.785867908578739,10.084131240844727
2015-02-18,10.28582059200801,10.325588483398377,10.086977889933928,10.143790245056152
2015-02-19,10.104018941011102,10.246049255197267,10.04152547296433,10.140947341918945
2015-02-20,10.226167822397361,10.231848949821721,10.018803426285965,10.194920539855957
2015-02-23,10.038693499761289,10.365362852886449,10.038693499761289,10.29434871673584
2015-02-24,10.362509949544087,10.402278900146484,10.169349565780447,10.402278900146484
