Date,Close,daily_return,5-day_volatility
2015-01-09,9.633441925048828,-0.043728783297897755,0.42483856175298196
2015-01-12,9.400711059570312,-0.024158641043277584,0.4661336576871454
2015-01-13,9.389619827270508,-0.0011798290820260737,0.44851303408825655
2015-01-14,9.453354835510254,0.006787815631751126,0.34437008620320475
2015-01-15,9.370233535766602,-0.008792783217172584,0.2848909239176746
2015-01-16,9.51430606842041,0.015375554099465782,0.2148849082574616
2015-01-19,9.17074966430664,-0.03610945471410587,0.27955896644855227
2015-01-20,9.201223373413086,0.0033229245396426688,0.28391271427531384
2015-01-21,9.472743034362793,0.029509082643756068,0.35476994117249655
2015-01-22,9.519847869873047,0.004972671098474768,0.346964113714077
2015-01-23,9.428412437438965,-0.009604715714359613,0.3397431387416624
2015-01-26,9.539240837097168,0.011754725452836512,0.20300807754429828
2015-01-27,9.503219604492188,-0.003776111036519536,0.21583467841090717
2015-01-28,9.309277534484863,-0.020408038336359957,0.17786249365839626
2015-01-29,9.245548248291016,-0.006845782173511505,0.1651598834525397
2015-01-30,9.115338325500488,-0.014083526394943147,0.17267058476441133
2015-02-02,9.235908508300781,0.013227175832080107,0.18065841042296787
2015-02-03,9.493695259094238,0.02791135821254298,0.2853610179962685
2015-02-04,9.842948913574219,0.03678795715982375,0.3096815475563233
2015-02-05,9.759796142578125,-0.008447953121184959,0.3145675474240028
2015-02-06,9.73762035369873,-0.002272156974944428,0.2731658234854184
2015-02-09,9.798601150512695,0.006262392103919101,0.27699409283397114
2015-02-10,9.673866271972656,-0.012729865888409186,0.27988846414542884
2015-02-11,9.510335922241211,-0.016904342600355005,0.12918037363224774
2015-02-12,9.760308265686035,0.026284281174572488,0.24417531798992678
2015-02-13,10.084131240844727,0.03317753562120007,0.31892660818266255
2015-02-18,10.143791198730469,0.005916221879788353,0.31898645433922174
2015-02-19,10.140950202941895,-0.00028007238446803306,0.28819329864941706
2015-02-20,10.194918632507324,0.005321831631692087,0.20858218170681797
2015-02-23,10.294344902038574,0.009752531934313025,0.184919743657683
2015-02-24,10.402284622192383,0.010485341338469567,0.06099613497235618
