nr_model,seq_length,batch_size,hidden_size,num_layers,lr,dropout_prob,num_epochs,loss_function,data_inicial,data_final,mae,mse,rmse,dac
39,30,32,64,2,0.001,0.2,50,MSE,2025-11-07 22:56:34,2025-11-07 22:56:41,0.1465051770210266,0.0460306853055954,0.2145476341247558,0.8062622309197651
175,45,32,64,2,0.002,0.2,50,MSE,2025-11-07 23:08:09,2025-11-07 23:08:17,0.2276918441057205,0.1896127611398697,0.435445487499237,0.8169291338582677
186,45,32,64,3,0.002,0.1,30,MAE,2025-11-07 23:09:42,2025-11-07 23:09:49,0.3926371335983276,0.4931189715862274,0.7022243142127991,0.8169291338582677
240,45,64,64,2,0.002,0.2,50,MAE,2025-11-07 23:13:50,2025-11-07 23:13:56,0.2231007665395736,0.1890715211629867,0.4348235428333282,0.8169291338582677
