nr_model,seq_length,batch_size,hidden_size,num_layers,lr,dropout_prob,num_epochs,loss_function,data_inicial,data_final,mae,mse,rmse,dac
33,30,32,64,2,0.001,0.1,30,MSE,2025-11-07 23:19:04,2025-11-07 23:19:08,0.2741605639457702,0.1349915266036987,0.3674119412899017,0.5
145,45,32,32,3,0.001,0.1,30,MSE,2025-11-07 23:28:06,2025-11-07 23:28:10,0.9538289308547974,1.5041000843048096,1.2264175415039062,0.52465483234714
