nr_model,seq_length,batch_size,hidden_size,num_layers,lr,dropout_prob,num_epochs,loss_function,data_inicial,data_final,mae,mse,rmse,dac
1,30,32,32,2,0.001,0.1,30,MSE,2025-11-07 23:15:55,2025-11-07 23:16:00,0.6583120226860046,0.9112080335617065,0.9545722007751465,0.48823529411764705
2,30,32,32,2,0.001,0.1,30,MAE,2025-11-07 23:16:00,2025-11-07 23:16:04,0.36440250277519226,0.29709792137145996,0.5450668931007385,0.5098039215686274
3,30,32,32,2,0.001,0.1,50,MSE,2025-11-07 23:16:04,2025-11-07 23:16:11,0.48401057720184326,0.48582807183265686,0.6970136761665344,0.5098039215686274
4,30,32,32,2,0.001,0.1,50,MAE,2025-11-07 23:16:11,2025-11-07 23:16:18,0.44507166743278503,0.3744719922542572,0.6119411587715149,0.49411764705882355
5,30,32,32,2,0.001,0.2,30,MSE,2025-11-07 23:16:18,2025-11-07 23:16:22,0.5313820242881775,0.5288305878639221,0.727207362651825,0.5019607843137255
6,30,32,32,2,0.001,0.2,30,MAE,2025-11-07 23:16:22,2025-11-07 23:16:26,0.37571069598197937,0.3134708106517792,0.5598846673965454,0.5098039215686274
7,30,32,32,2,0.001,0.2,50,MSE,2025-11-07 23:16:26,2025-11-07 23:16:33,0.3842853605747223,0.3095821738243103,0.5564010739326477,0.5058823529411764
8,30,32,32,2,0.001,0.2,50,MAE,2025-11-07 23:16:33,2025-11-07 23:16:40,0.4308358132839203,0.3917710483074188,0.6259161829948425,0.503921568627451
9,30,32,32,2,0.002,0.1,30,MSE,2025-11-07 23:16:40,2025-11-07 23:16:44,0.35697799921035767,0.27760058641433716,0.5268781781196594,0.503921568627451
10,30,32,32,2,0.002,0.1,30,MAE,2025-11-07 23:16:44,2025-11-07 23:16:48,0.4586276710033417,0.4487017095088959,0.6698520183563232,0.49019607843137253
11,30,32,32,2,0.002,0.1,50,MSE,2025-11-07 23:16:48,2025-11-07 23:16:55,0.3751669228076935,0.30143213272094727,0.5490283370018005,0.5019607843137255
12,30,32,32,2,0.002,0.1,50,MAE,2025-11-07 23:16:55,2025-11-07 23:17:02,0.3963247835636139,0.3579671382904053,0.5983035564422607,0.49411764705882355
13,30,32,32,2,0.002,0.2,30,MSE,2025-11-07 23:17:02,2025-11-07 23:17:06,0.39671048521995544,0.34378841519355774,0.5863347053527832,0.5078431372549019
14,30,32,32,2,0.002,0.2,30,MAE,2025-11-07 23:17:06,2025-11-07 23:17:10,0.37378478050231934,0.3012934923171997,0.5489020943641663,0.49411764705882355
