nr_model,seq_length,batch_size,hidden_size,num_layers,lr,dropout_prob,num_epochs,loss_function,data_inicial,data_final,mae,mse,rmse,dac
32,30,32,32,3,0.002,0.2,50,MAE,2025-11-07 22:31:29,2025-11-07 22:31:38,1.1506576538085938,2.4019508361816406,1.5498228073120117,0.49706457925636005
33,30,32,64,2,0.001,0.1,30,MSE,2025-11-07 22:31:38,2025-11-07 22:31:44,0.37392139434814453,0.2655385434627533,0.5153043270111084,0.50293542074364
34,30,32,64,2,0.001,0.1,30,MAE,2025-11-07 22:31:44,2025-11-07 22:31:49,0.4851883053779602,0.3900853395462036,0.6245681047439575,0.5009784735812133
35,30,32,64,2,0.001,0.1,50,MSE,2025-11-07 22:31:49,2025-11-07 22:31:58,0.45150619745254517,0.348550021648407,0.5903812646865845,0.5107632093933464
36,30,32,64,2,0.001,0.1,50,MAE,2025-11-07 22:31:58,2025-11-07 22:32:06,0.37629175186157227,0.3083665072917938,0.5553075671195984,0.4931506849315068
37,30,32,64,2,0.001,0.2,30,MSE,2025-11-07 22:32:06,2025-11-07 22:32:12,0.6090994477272034,0.5783266425132751,0.7604779005050659,0.50293542074364
38,30,32,64,2,0.001,0.2,30,MAE,2025-11-07 22:32:12,2025-11-07 22:32:17,0.5793437957763672,0.6250317692756653,0.7905895113945007,0.49510763209393344
39,30,32,64,2,0.001,0.2,50,MSE,2025-11-07 22:32:17,2025-11-07 22:32:26,0.44627371430397034,0.3703349828720093,0.608551561832428,0.49902152641878667
40,30,32,64,2,0.001,0.2,50,MAE,2025-11-07 22:32:26,2025-11-07 22:32:34,0.40626806020736694,0.3219776451587677,0.5674307346343994,0.49510763209393344
41,30,32,64,2,0.002,0.1,30,MSE,2025-11-07 22:32:34,2025-11-07 22:32:39,0.2972724437713623,0.170173779129982,0.41252124309539795,0.5048923679060665
42,30,32,64,2,0.002,0.1,30,MAE,2025-11-07 22:32:39,2025-11-07 22:32:45,0.46533048152923584,0.4340765178203583,0.6588448286056519,0.487279843444227
43,30,32,64,2,0.002,0.1,50,MSE,2025-11-07 22:32:45,2025-11-07 22:32:53,0.3814086318016052,0.309320330619812,0.5561657547950745,0.4931506849315068
44,30,32,64,2,0.002,0.1,50,MAE,2025-11-07 22:32:53,2025-11-07 22:33:02,0.4605407118797302,0.5120747089385986,0.7155939340591431,0.48336594911937375
45,30,32,64,2,0.002,0.2,30,MSE,2025-11-07 22:33:02,2025-11-07 22:33:07,0.6148781776428223,0.6284669041633606,0.7927590608596802,0.5068493150684932
46,30,32,64,2,0.002,0.2,30,MAE,2025-11-07 22:33:07,2025-11-07 22:33:13,0.78708815574646,1.0158847570419312,1.0079110860824585,0.4911937377690802
47,30,32,64,2,0.002,0.2,50,MSE,2025-11-07 22:33:13,2025-11-07 22:33:21,0.4785193204879761,0.42653530836105347,0.6530967354774475,0.5088062622309197
48,30,32,64,2,0.002,0.2,50,MAE,2025-11-07 22:33:21,2025-11-07 22:33:32,0.7732685804367065,1.0367213487625122,1.0181951522827148,0.4931506849315068
49,30,32,64,3,0.001,0.1,30,MSE,2025-11-07 22:33:32,2025-11-07 22:33:38,0.3337647318840027,0.2512659430503845,0.5012643337249756,0.48532289628180036
50,30,32,64,3,0.001,0.1,30,MAE,2025-11-07 22:33:38,2025-11-07 22:33:43,0.555118978023529,0.6566064357757568,0.8103125691413879,0.49706457925636005
51,30,32,64,3,0.001,0.1,50,MSE,2025-11-07 22:33:43,2025-11-07 22:33:53,0.46543389558792114,0.5862889289855957,0.7656950354576111,0.5048923679060665
52,30,32,64,3,0.001,0.1,50,MAE,2025-11-07 22:33:53,2025-11-07 22:34:02,0.687038004398346,0.8891875743865967,0.942967414855957,0.5009784735812133
53,30,32,64,3,0.001,0.2,30,MSE,2025-11-07 22:34:02,2025-11-07 22:34:07,0.47102487087249756,0.4462008476257324,0.6679826974868774,0.49902152641878667
54,30,32,64,3,0.001,0.2,30,MAE,2025-11-07 22:34:07,2025-11-07 22:34:13,0.413300484418869,0.39823299646377563,0.6310570240020752,0.4892367906066536
55,30,32,64,3,0.001,0.2,50,MSE,2025-11-07 22:34:13,2025-11-07 22:34:22,0.8170801401138306,1.1275943517684937,1.061882495880127,0.49902152641878667
56,30,32,64,3,0.001,0.2,50,MAE,2025-11-07 22:34:22,2025-11-07 22:34:31,0.596973717212677,0.827346920967102,0.9095861315727234,0.487279843444227
57,30,32,64,3,0.002,0.1,30,MSE,2025-11-07 22:34:31,2025-11-07 22:34:37,0.622893214225769,0.7071723937988281,0.8409354090690613,0.49902152641878667
58,30,32,64,3,0.002,0.1,30,MAE,2025-11-07 22:34:37,2025-11-07 22:34:43,0.42219144105911255,0.4802246391773224,0.6929824352264404,0.49510763209393344
59,30,32,64,3,0.002,0.1,50,MSE,2025-11-07 22:34:43,2025-11-07 22:34:52,0.4689987897872925,0.6189868450164795,0.7867571711540222,0.4931506849315068
60,30,32,64,3,0.002,0.1,50,MAE,2025-11-07 22:34:52,2025-11-07 22:35:01,0.49276119470596313,0.6183815002441406,0.7863723635673523,0.487279843444227
61,30,32,64,3,0.002,0.2,30,MSE,2025-11-07 22:35:01,2025-11-07 22:35:07,0.6166757345199585,0.7682186365127563,0.8764808177947998,0.50293542074364
62,30,32,64,3,0.002,0.2,30,MAE,2025-11-07 22:35:07,2025-11-07 22:35:12,0.5067262053489685,0.640485405921936,0.8003033399581909,0.487279843444227
63,30,32,64,3,0.002,0.2,50,MSE,2025-11-07 22:35:13,2025-11-07 22:35:22,0.750980019569397,1.1105860471725464,1.0538434982299805,0.49706457925636005
64,30,32,64,3,0.002,0.2,50,MAE,2025-11-07 22:35:22,2025-11-07 22:35:31,0.9191778898239136,1.7041780948638916,1.3054417371749878,0.4931506849315068
65,30,64,32,2,0.001,0.1,30,MSE,2025-11-07 22:35:31,2025-11-07 22:35:34,0.6688302159309387,0.9583981037139893,0.9789780974388123,0.5009784735812133
66,30,64,32,2,0.001,0.1,30,MAE,2025-11-07 22:35:34,2025-11-07 22:35:37,0.49523839354515076,0.5958355069160461,0.7719038128852844,0.5068493150684932
67,30,64,32,2,0.001,0.1,50,MSE,2025-11-07 22:35:37,2025-11-07 22:35:41,0.6899318695068359,0.9726660847663879,0.9862383604049683,0.5068493150684932
68,30,64,32,2,0.001,0.1,50,MAE,2025-11-07 22:35:41,2025-11-07 22:35:45,0.46229612827301025,0.5271186232566833,0.7260293364524841,0.49902152641878667
69,30,64,32,2,0.001,0.2,30,MSE,2025-11-07 22:35:45,2025-11-07 22:35:48,0.8492778539657593,1.332047462463379,1.1541435718536377,0.5068493150684932
70,30,64,32,2,0.001,0.2,30,MAE,2025-11-07 22:35:48,2025-11-07 22:35:50,0.7376891374588013,1.0567208528518677,1.027969241142273,0.49706457925636005
71,30,64,32,2,0.001,0.2,50,MSE,2025-11-07 22:35:50,2025-11-07 22:35:55,0.4479907155036926,0.4051845073699951,0.6365410685539246,0.5146771037181996
72,30,64,32,2,0.001,0.2,50,MAE,2025-11-07 22:35:55,2025-11-07 22:35:59,0.5437449812889099,0.637683629989624,0.7985509634017944,0.5009784735812133
73,30,64,32,2,0.002,0.1,30,MSE,2025-11-07 22:35:59,2025-11-07 22:36:02,0.43610742688179016,0.4610302150249481,0.6789920330047607,0.5048923679060665
74,30,64,32,2,0.002,0.1,30,MAE,2025-11-07 22:36:02,2025-11-07 22:36:04,0.5572971701622009,0.6299121379852295,0.7936700582504272,0.512720156555773
75,30,64,32,2,0.002,0.1,50,MSE,2025-11-07 22:36:04,2025-11-07 22:36:09,0.42837244272232056,0.4157526195049286,0.6447888016700745,0.50293542074364
76,30,64,32,2,0.002,0.1,50,MAE,2025-11-07 22:36:09,2025-11-07 22:36:13,0.4272139370441437,0.39790821075439453,0.6307996511459351,0.49902152641878667
77,30,64,32,2,0.002,0.2,30,MSE,2025-11-07 22:36:13,2025-11-07 22:36:16,0.5570682287216187,0.6890188455581665,0.8300715684890747,0.5088062622309197
78,30,64,32,2,0.002,0.2,30,MAE,2025-11-07 22:36:16,2025-11-07 22:36:18,0.38997215032577515,0.38947734236717224,0.6240811944007874,0.49510763209393344
79,30,64,32,2,0.002,0.2,50,MSE,2025-11-07 22:36:18,2025-11-07 22:36:22,0.46423107385635376,0.4611142575740814,0.6790539622306824,0.50293542074364
80,30,64,32,2,0.002,0.2,50,MAE,2025-11-07 22:36:22,2025-11-07 22:36:27,0.4618496894836426,0.46998918056488037,0.6855575442314148,0.5009784735812133
81,30,64,32,3,0.001,0.1,30,MSE,2025-11-07 22:36:27,2025-11-07 22:36:30,0.8254631757736206,1.6764243841171265,1.2947680950164795,0.49510763209393344
82,30,64,32,3,0.001,0.1,30,MAE,2025-11-07 22:36:30,2025-11-07 22:36:33,0.6672626733779907,1.0871057510375977,1.042643666267395,0.4911937377690802
83,30,64,32,3,0.001,0.1,50,MSE,2025-11-07 22:36:33,2025-11-07 22:36:38,0.417163610458374,0.400557279586792,0.6328959465026855,0.487279843444227
84,30,64,32,3,0.001,0.1,50,MAE,2025-11-07 22:36:38,2025-11-07 22:36:43,0.8235818147659302,1.4910314083099365,1.2210779190063477,0.49902152641878667
85,30,64,32,3,0.001,0.2,30,MSE,2025-11-07 22:36:43,2025-11-07 22:36:46,1.0828096866607666,2.126713991165161,1.458325743675232,0.487279843444227
86,30,64,32,3,0.001,0.2,30,MAE,2025-11-07 22:36:46,2025-11-07 22:36:49,0.6065319776535034,1.0203696489334106,1.0101335048675537,0.5146771037181996
87,30,64,32,3,0.001,0.2,50,MSE,2025-11-07 22:36:49,2025-11-07 22:36:54,0.8858602046966553,1.8636798858642578,1.3651666641235352,0.5107632093933464
88,30,64,32,3,0.001,0.2,50,MAE,2025-11-07 22:36:54,2025-11-07 22:36:59,0.5258252620697021,0.6808645129203796,0.8251451253890991,0.4931506849315068
89,30,64,32,3,0.002,0.1,30,MSE,2025-11-07 22:36:59,2025-11-07 22:37:02,0.5352280735969543,0.7060332894325256,0.8402578830718994,0.5107632093933464
90,30,64,32,3,0.002,0.1,30,MAE,2025-11-07 22:37:02,2025-11-07 22:37:05,0.7531764507293701,1.3566972017288208,1.1647734642028809,0.5088062622309197
91,30,64,32,3,0.002,0.1,50,MSE,2025-11-07 22:37:05,2025-11-07 22:37:10,0.44230183959007263,0.5057882070541382,0.7111878991127014,0.5048923679060665
92,30,64,32,3,0.002,0.1,50,MAE,2025-11-07 22:37:10,2025-11-07 22:37:15,0.8264339566230774,1.5590028762817383,1.2486003637313843,0.49510763209393344
93,30,64,32,3,0.002,0.2,30,MSE,2025-11-07 22:37:15,2025-11-07 22:37:18,0.8004891276359558,1.3314893245697021,1.1539018154144287,0.49902152641878667
94,30,64,32,3,0.002,0.2,30,MAE,2025-11-07 22:37:18,2025-11-07 22:37:21,0.7908484935760498,1.1058926582336426,1.0516142845153809,0.4892367906066536
95,30,64,32,3,0.002,0.2,50,MSE,2025-11-07 22:37:21,2025-11-07 22:37:26,0.49608364701271057,0.746681272983551,0.8641071915626526,0.5107632093933464
96,30,64,32,3,0.002,0.2,50,MAE,2025-11-07 22:37:26,2025-11-07 22:37:31,0.6444607377052307,1.2295887470245361,1.1088682413101196,0.49902152641878667
97,30,64,64,2,0.001,0.1,30,MSE,2025-11-07 22:37:31,2025-11-07 22:37:34,0.4208354353904724,0.3770486116409302,0.6140428185462952,0.5009784735812133
98,30,64,64,2,0.001,0.1,30,MAE,2025-11-07 22:37:34,2025-11-07 22:37:37,0.5420041680335999,0.5006536245346069,0.7075688242912292,0.5068493150684932
99,30,64,64,2,0.001,0.1,50,MSE,2025-11-07 22:37:37,2025-11-07 22:37:42,0.41671204566955566,0.35149165987968445,0.5928673148155212,0.5088062622309197
100,30,64,64,2,0.001,0.1,50,MAE,2025-11-07 22:37:42,2025-11-07 22:37:47,0.32281094789505005,0.18512889742851257,0.4302660822868347,0.4931506849315068
101,30,64,64,2,0.001,0.2,30,MSE,2025-11-07 22:37:47,2025-11-07 22:37:50,0.4417572617530823,0.4349991977214813,0.6595447063446045,0.50293542074364
102,30,64,64,2,0.001,0.2,30,MAE,2025-11-07 22:37:50,2025-11-07 22:37:53,0.3008580505847931,0.16362214088439941,0.40450233221054077,0.4931506849315068
103,30,64,64,2,0.001,0.2,50,MSE,2025-11-07 22:37:53,2025-11-07 22:37:58,0.3779975175857544,0.2655768096446991,0.5153414607048035,0.5068493150684932
104,30,64,64,2,0.001,0.2,50,MAE,2025-11-07 22:37:58,2025-11-07 22:38:03,0.5192025899887085,0.5059217214584351,0.7112817168235779,0.4931506849315068
105,30,64,64,2,0.002,0.1,30,MSE,2025-11-07 22:38:03,2025-11-07 22:38:06,0.3621985614299774,0.24013081192970276,0.4900314509868622,0.5107632093933464
106,30,64,64,2,0.002,0.1,30,MAE,2025-11-07 22:38:06,2025-11-07 22:38:09,0.34997960925102234,0.26658034324645996,0.5163142085075378,0.49510763209393344
107,30,64,64,2,0.002,0.1,50,MSE,2025-11-07 22:38:09,2025-11-07 22:38:14,0.5096259117126465,0.41473063826560974,0.6439958214759827,0.5009784735812133
