nr_model,seq_length,batch_size,hidden_size,num_layers,lr,dropout_prob,num_epochs,loss_function,data_inicial,data_final,mae,mse,rmse,dac
1,30,32,32,2,0.001,0.1,30,MSE,2025-11-07 22:52:54,2025-11-07 22:52:59,0.4837995767593384,0.8220278024673462,0.9066575169563293,0.7514677103718199
2,30,32,32,2,0.001,0.1,30,MAE,2025-11-07 22:52:59,2025-11-07 22:53:03,0.35146981477737427,0.49459943175315857,0.7032776474952698,0.7749510763209393
3,30,32,32,2,0.001,0.1,50,MSE,2025-11-07 22:53:03,2025-11-07 22:53:10,0.2590450644493103,0.29115819931030273,0.5395907759666443,0.7945205479452054
4,30,32,32,2,0.001,0.1,50,MAE,2025-11-07 22:53:10,2025-11-07 22:53:17,0.2824535369873047,0.3018510341644287,0.5494096875190735,0.7964774951076321
5,30,32,32,2,0.001,0.2,30,MSE,2025-11-07 22:53:17,2025-11-07 22:53:21,0.34415727853775024,0.4269018769264221,0.6533772945404053,0.7592954990215264
6,30,32,32,2,0.001,0.2,30,MAE,2025-11-07 22:53:21,2025-11-07 22:53:26,0.3330536186695099,0.39518967270851135,0.6286411285400391,0.7729941291585127
7,30,32,32,2,0.001,0.2,50,MSE,2025-11-07 22:53:26,2025-11-07 22:53:32,0.30354952812194824,0.4084030091762543,0.6390641927719116,0.8003913894324853
8,30,32,32,2,0.001,0.2,50,MAE,2025-11-07 22:53:33,2025-11-07 22:53:39,0.5183162689208984,0.7259922623634338,0.8520517945289612,0.7808219178082192
9,30,32,32,2,0.002,0.1,30,MSE,2025-11-07 22:53:39,2025-11-07 22:53:43,0.6419422626495361,0.8146347999572754,0.9025712013244629,0.7925636007827789
10,30,32,32,2,0.002,0.1,30,MAE,2025-11-07 22:53:43,2025-11-07 22:53:48,0.4027212858200073,0.5550441741943359,0.7450128793716431,0.8003913894324853
11,30,32,32,2,0.002,0.1,50,MSE,2025-11-07 22:53:48,2025-11-07 22:53:54,0.5016590356826782,0.5786594152450562,0.7606966495513916,0.8062622309197651
